# PLGA Optimization Results
# Drug: xanthone
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:58:16
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
150,2.5,0.3,182.1,42.5,9.1,63.59
10,2.5,0.25,182.2,42.6,8.2,63.55
20,2.5,0.25,182.2,42.6,8.2,63.55
150,2.5,0.25,182.2,42.6,8.2,63.55
75,2.5,0.25,182.2,42.6,8.2,63.55
50,2.5,0.25,182.2,42.6,8.2,63.55
30,2.5,0.25,182.2,42.6,8.2,63.55
100,2.5,0.25,182.2,42.6,8.2,63.55
75,1.5,0.05,183.0,42.8,4.4,63.39
10,1.5,0.05,183.0,42.8,4.4,63.39
150,1.5,0.05,183.0,42.8,4.4,63.39
50,1.5,0.05,183.0,42.8,4.4,63.39
30,1.5,0.05,183.0,42.8,4.4,63.39
100,1.5,0.05,183.0,42.8,4.4,63.39
20,1.5,0.05,183.0,42.8,4.4,63.39
20,2.0,0.1,183.4,42.5,5.8,63.31
10,2.0,0.1,183.4,42.5,5.8,63.31
100,2.0,0.1,183.4,42.5,5.8,63.31
50,2.0,0.1,183.4,42.5,5.8,63.31
150,2.0,0.1,183.4,42.5,5.8,63.31
75,2.0,0.1,183.4,42.5,5.8,63.31
30,2.0,0.1,183.4,42.5,5.8,63.31
150,2.5,0.15,184.0,43.4,6.8,63.2
75,2.5,0.15,184.0,43.4,6.8,63.2
10,2.5,0.15,184.0,43.4,6.8,63.2
100,2.5,0.15,184.0,43.4,6.8,63.2
20,2.5,0.15,184.0,43.4,6.8,63.2
30,2.5,0.15,184.0,43.4,6.8,63.2
50,2.5,0.15,184.0,43.4,6.8,63.2
20,2.5,0.35,184.1,42.7,9.4,63.19
100,2.5,0.35,184.1,42.7,9.4,63.19
150,2.5,0.35,184.1,42.7,9.4,63.19
75,2.5,0.35,184.1,42.7,9.4,63.19
10,2.5,0.35,184.1,42.7,9.4,63.19
50,2.5,0.35,184.1,42.7,9.4,63.19
30,2.5,0.35,184.1,42.7,9.4,63.19
20,2.5,0.2,184.2,43.1,7.2,63.16
30,2.5,0.2,184.2,43.1,7.2,63.16
100,2.5,0.2,184.2,43.1,7.2,63.16
50,2.5,0.2,184.2,43.1,7.2,63.16
150,2.5,0.2,184.2,43.1,7.2,63.16
10,2.5,0.2,184.2,43.1,7.2,63.16
75,2.5,0.2,184.2,43.1,7.2,63.16
50,2.5,0.4,184.5,42.6,9.8,63.11
20,2.5,0.4,184.5,42.6,9.8,63.11
150,2.5,0.4,184.5,42.6,9.8,63.11
100,2.5,0.4,184.5,42.6,9.8,63.11
10,2.5,0.4,184.5,42.6,9.8,63.11
75,2.5,0.4,184.5,42.6,9.8,63.11
30,2.5,0.4,184.5,42.6,9.8,63.11
50,2.5,0.1,186.1,42.9,5.8,62.79
10,2.5,0.1,186.1,42.9,5.8,62.79
150,2.5,0.1,186.1,42.9,5.8,62.79
100,2.5,0.1,186.1,42.9,5.8,62.79
20,2.5,0.1,186.1,42.9,5.8,62.79
30,2.5,0.1,186.1,42.9,5.8,62.79
75,2.5,0.1,186.1,42.9,5.8,62.79
100,2.0,0.05,186.6,42.1,4.5,62.68
150,2.0,0.05,186.6,42.1,4.5,62.68
50,2.0,0.05,186.6,42.1,4.5,62.68
20,2.0,0.05,186.6,42.1,4.5,62.68
30,2.0,0.05,186.6,42.1,4.5,62.68
75,2.0,0.05,186.6,42.1,4.5,62.68
10,2.0,0.05,186.6,42.1,4.5,62.68
150,2.5,0.05,190.4,42.1,4.4,61.92
30,2.5,0.05,190.4,42.1,4.4,61.92
50,2.5,0.05,190.4,42.1,4.4,61.92
100,2.5,0.05,190.4,42.1,4.4,61.92
75,2.5,0.05,190.4,42.1,4.4,61.92
10,2.5,0.05,190.4,42.1,4.4,61.92
20,2.5,0.05,190.4,42.1,4.4,61.92
100,4.0,0.15,195.1,44.3,6.9,60.98
20,4.0,0.15,195.1,44.3,6.9,60.98
10,4.0,0.15,195.1,44.3,6.9,60.98
50,4.0,0.15,195.1,44.3,6.9,60.98
150,4.0,0.15,195.1,44.3,6.9,60.98
75,4.0,0.15,195.1,44.3,6.9,60.98
30,4.0,0.15,195.1,44.3,6.9,60.98
30,4.0,0.3,195.2,43.5,9.2,60.95
150,4.0,0.3,195.2,43.5,9.2,60.95
50,4.0,0.3,195.2,43.5,9.2,60.95
20,4.0,0.3,195.2,43.5,9.2,60.95
10,4.0,0.3,195.2,43.5,9.2,60.95
75,4.0,0.3,195.2,43.5,9.2,60.95
100,4.0,0.3,195.2,43.5,9.2,60.95
30,4.0,0.25,195.4,43.6,8.2,60.92
20,4.0,0.25,195.4,43.6,8.2,60.92
100,4.0,0.25,195.4,43.6,8.2,60.92
150,4.0,0.25,195.4,43.6,8.2,60.92
50,4.0,0.25,195.4,43.6,8.2,60.92
10,4.0,0.25,195.4,43.6,8.2,60.92
75,4.0,0.25,195.4,43.6,8.2,60.92
30,4.0,0.35,196.9,43.9,9.4,60.63
100,4.0,0.35,196.9,43.9,9.4,60.63
75,4.0,0.35,196.9,43.9,9.4,60.63
20,4.0,0.35,196.9,43.9,9.4,60.63
50,4.0,0.35,196.9,43.9,9.4,60.63
10,4.0,0.35,196.9,43.9,9.4,60.63
150,4.0,0.35,196.9,43.9,9.4,60.63
30,3.0,0.15,197.1,43.9,6.9,60.58
20,3.0,0.15,197.1,43.9,6.9,60.58
150,3.0,0.15,197.1,43.9,6.9,60.58
10,3.0,0.15,197.1,43.9,6.9,60.58
75,3.0,0.15,197.1,43.9,6.9,60.58
50,3.0,0.15,197.1,43.9,6.9,60.58
100,3.0,0.15,197.1,43.9,6.9,60.58
75,4.0,0.4,197.3,43.7,9.9,60.55
100,4.0,0.4,197.3,43.7,9.9,60.55
20,4.0,0.4,197.3,43.7,9.9,60.55
10,4.0,0.4,197.3,43.7,9.9,60.55
150,4.0,0.4,197.3,43.7,9.9,60.55
50,4.0,0.4,197.3,43.7,9.9,60.55
30,4.0,0.4,197.3,43.7,9.9,60.55
150,3.0,0.3,198.5,43.1,9.2,60.3
30,3.0,0.3,198.5,43.1,9.2,60.3
20,3.0,0.3,198.5,43.1,9.2,60.3
10,3.0,0.3,198.5,43.1,9.2,60.3
100,3.0,0.3,198.5,43.1,9.2,60.3
75,3.0,0.3,198.5,43.1,9.2,60.3
50,3.0,0.3,198.5,43.1,9.2,60.3
20,4.0,0.2,198.6,44.1,7.2,60.29
30,4.0,0.2,198.6,44.1,7.2,60.29
50,4.0,0.2,198.6,44.1,7.2,60.29
75,4.0,0.2,198.6,44.1,7.2,60.29
100,4.0,0.2,198.6,44.1,7.2,60.29
