# PLGA Optimization Results
# Drug: xanthone
# Priority: balanced
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 08:57:47
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
150000,1.5,0.2,178.5,43.3,7.1,45.86
30000,1.5,0.2,178.5,43.3,7.1,45.86
50000,1.5,0.2,178.5,43.3,7.1,45.86
20000,1.5,0.2,178.5,43.3,7.1,45.86
10000,1.5,0.2,178.5,43.3,7.1,45.86
100000,1.5,0.2,178.5,43.3,7.1,45.86
20000,4.0,0.25,195.4,43.6,8.2,45.67
75000,4.0,0.25,195.4,43.6,8.2,45.67
100000,4.0,0.25,195.4,43.6,8.2,45.67
150000,4.0,0.25,195.4,43.6,8.2,45.67
50000,4.0,0.25,195.4,43.6,8.2,45.67
30000,4.0,0.25,195.4,43.6,8.2,45.67
10000,4.0,0.25,195.4,43.6,8.2,45.67
30000,2.0,0.2,181.0,42.7,7.2,45.56
50000,2.0,0.2,181.0,42.7,7.2,45.56
100000,2.0,0.2,181.0,42.7,7.2,45.56
75000,2.0,0.2,181.0,42.7,7.2,45.56
150000,2.0,0.2,181.0,42.7,7.2,45.56
20000,2.0,0.2,181.0,42.7,7.2,45.56
10000,2.0,0.2,181.0,42.7,7.2,45.56
50000,1.5,0.15,179.7,43.6,6.8,45.52
75000,1.5,0.15,179.7,43.6,6.8,45.52
150000,1.5,0.15,179.7,43.6,6.8,45.52
100000,1.5,0.15,179.7,43.6,6.8,45.52
20000,1.5,0.15,179.7,43.6,6.8,45.52
10000,1.5,0.15,179.7,43.6,6.8,45.52
30000,1.5,0.15,179.7,43.6,6.8,45.52
10000,1.0,0.2,176.2,43.2,6.5,45.41
75000,1.0,0.2,176.2,43.2,6.5,45.41
100000,1.0,0.2,176.2,43.2,6.5,45.41
50000,1.0,0.2,176.2,43.2,6.5,45.41
30000,1.0,0.2,176.2,43.2,6.5,45.41
20000,1.0,0.2,176.2,43.2,6.5,45.41
150000,1.0,0.2,176.2,43.2,6.5,45.41
100000,2.5,0.2,184.2,43.1,7.2,45.38
150000,2.5,0.2,184.2,43.1,7.2,45.38
50000,2.5,0.2,184.2,43.1,7.2,45.38
30000,2.5,0.2,184.2,43.1,7.2,45.38
20000,2.5,0.2,184.2,43.1,7.2,45.38
75000,2.5,0.2,184.2,43.1,7.2,45.38
10000,2.5,0.2,184.2,43.1,7.2,45.38
100000,0.5,0.2,177.0,42.9,6.6,45.31
30000,0.5,0.2,177.0,42.9,6.6,45.31
75000,0.5,0.2,177.0,42.9,6.6,45.31
20000,0.5,0.2,177.0,42.9,6.6,45.31
10000,0.5,0.2,177.0,42.9,6.6,45.31
50000,0.5,0.2,177.0,42.9,6.6,45.31
150000,0.5,0.2,177.0,42.9,6.6,45.31
10000,3.0,0.25,198.7,43.2,8.2,45.3
30000,3.0,0.25,198.7,43.2,8.2,45.3
100000,3.0,0.25,198.7,43.2,8.2,45.3
150000,3.0,0.25,198.7,43.2,8.2,45.3
75000,3.0,0.25,198.7,43.2,8.2,45.3
50000,3.0,0.25,198.7,43.2,8.2,45.3
20000,3.0,0.25,198.7,43.2,8.2,45.3
10000,2.0,0.15,181.4,42.9,6.9,45.25
30000,2.0,0.15,181.4,42.9,6.9,45.25
100000,2.0,0.15,181.4,42.9,6.9,45.25
75000,2.0,0.15,181.4,42.9,6.9,45.25
150000,2.0,0.15,181.4,42.9,6.9,45.25
50000,2.0,0.15,181.4,42.9,6.9,45.25
20000,2.0,0.15,181.4,42.9,6.9,45.25
10000,0.75,0.2,176.3,42.6,6.5,45.21
100000,0.75,0.2,176.3,42.6,6.5,45.21
150000,0.75,0.2,176.3,42.6,6.5,45.21
20000,0.75,0.2,176.3,42.6,6.5,45.21
75000,0.75,0.2,176.3,42.6,6.5,45.21
30000,0.75,0.2,176.3,42.6,6.5,45.21
50000,0.75,0.2,176.3,42.6,6.5,45.21
20000,2.5,0.15,184.0,43.4,6.8,45.14
100000,2.5,0.15,184.0,43.4,6.8,45.14
30000,2.5,0.15,184.0,43.4,6.8,45.14
150000,2.5,0.15,184.0,43.4,6.8,45.14
10000,2.5,0.15,184.0,43.4,6.8,45.14
50000,2.5,0.15,184.0,43.4,6.8,45.14
75000,2.5,0.15,184.0,43.4,6.8,45.14
75000,1.0,0.15,176.8,43.6,6.1,45.05
10000,1.0,0.15,176.8,43.6,6.1,45.05
150000,1.0,0.15,176.8,43.6,6.1,45.05
30000,1.0,0.15,176.8,43.6,6.1,45.05
50000,1.0,0.15,176.8,43.6,6.1,45.05
20000,1.0,0.15,176.8,43.6,6.1,45.05
100000,1.0,0.15,176.8,43.6,6.1,45.05
75000,0.5,0.15,177.5,43.3,6.2,44.99
20000,0.5,0.15,177.5,43.3,6.2,44.99
10000,0.5,0.15,177.5,43.3,6.2,44.99
50000,0.5,0.15,177.5,43.3,6.2,44.99
150000,0.5,0.15,177.5,43.3,6.2,44.99
100000,0.5,0.15,177.5,43.3,6.2,44.99
30000,0.5,0.15,177.5,43.3,6.2,44.99
10000,0.75,0.15,176.9,42.9,6.1,44.87
50000,0.75,0.15,176.9,42.9,6.1,44.87
30000,0.75,0.15,176.9,42.9,6.1,44.87
100000,0.75,0.15,176.9,42.9,6.1,44.87
20000,0.75,0.15,176.9,42.9,6.1,44.87
150000,0.75,0.15,176.9,42.9,6.1,44.87
75000,0.75,0.15,176.9,42.9,6.1,44.87
30000,4.0,0.15,195.1,44.3,6.9,44.61
10000,4.0,0.15,195.1,44.3,6.9,44.61
75000,4.0,0.15,195.1,44.3,6.9,44.61
150000,4.0,0.15,195.1,44.3,6.9,44.61
50000,4.0,0.15,195.1,44.3,6.9,44.61
100000,4.0,0.15,195.1,44.3,6.9,44.61
20000,4.0,0.15,195.1,44.3,6.9,44.61
10000,4.0,0.2,198.6,44.1,7.2,44.58
150000,4.0,0.2,198.6,44.1,7.2,44.58
75000,4.0,0.2,198.6,44.1,7.2,44.58
20000,4.0,0.2,198.6,44.1,7.2,44.58
100000,4.0,0.2,198.6,44.1,7.2,44.58
30000,4.0,0.2,198.6,44.1,7.2,44.58
50000,4.0,0.2,198.6,44.1,7.2,44.58
10000,3.0,0.15,197.1,43.9,6.9,44.34
20000,3.0,0.15,197.1,43.9,6.9,44.34
150000,3.0,0.15,197.1,43.9,6.9,44.34
100000,3.0,0.15,197.1,43.9,6.9,44.34
30000,3.0,0.15,197.1,43.9,6.9,44.34
50000,3.0,0.15,197.1,43.9,6.9,44.34
75000,3.0,0.15,197.1,43.9,6.9,44.34
30000,1.5,0.1,180.9,43.2,5.7,44.23
20000,1.5,0.1,180.9,43.2,5.7,44.23
