# PLGA Optimization Results
# Drug: rivaroxaban
# Priority: balanced
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:22:30
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
10000,0.75,0.15,178.7,61.1,7.5,51.54
20000,0.75,0.15,178.7,61.1,7.5,51.54
10000,0.5,0.15,178.4,60.1,7.2,50.98
20000,0.5,0.15,178.4,60.1,7.2,50.98
50000,0.5,0.15,178.4,60.1,7.2,50.98
75000,0.5,0.15,178.4,60.1,7.2,50.98
30000,0.5,0.15,178.4,60.1,7.2,50.98
150000,0.5,0.15,178.4,60.1,7.2,50.98
100000,0.5,0.15,178.4,60.1,7.2,50.98
10000,1.5,0.1,181.3,62.6,6.5,50.74
30000,4.0,0.2,209.4,62.1,8.9,50.74
10000,4.0,0.2,209.4,62.1,8.9,50.74
150000,4.0,0.2,209.4,62.1,8.9,50.74
75000,1.5,0.1,181.3,62.6,6.5,50.74
100000,1.5,0.1,181.3,62.6,6.5,50.74
20000,1.5,0.1,181.3,62.6,6.5,50.74
20000,4.0,0.2,209.4,62.1,8.9,50.74
50000,4.0,0.2,209.4,62.1,8.9,50.74
30000,1.5,0.1,181.3,62.6,6.5,50.74
50000,1.5,0.1,181.3,62.6,6.5,50.74
100000,4.0,0.2,209.4,62.1,8.9,50.74
75000,4.0,0.2,209.4,62.1,8.9,50.74
150000,1.5,0.1,181.3,62.6,6.5,50.74
150000,3.0,0.2,209.4,61.9,8.9,50.69
75000,3.0,0.2,209.4,61.9,8.9,50.69
30000,3.0,0.2,209.4,61.9,8.9,50.69
50000,3.0,0.2,209.4,61.9,8.9,50.69
10000,3.0,0.2,209.4,61.9,8.9,50.69
100000,3.0,0.2,209.4,61.9,8.9,50.69
20000,3.0,0.2,209.4,61.9,8.9,50.69
75000,1.0,0.1,180.6,62.9,6.2,50.65
50000,1.0,0.1,180.6,62.9,6.2,50.65
100000,1.0,0.1,180.6,62.9,6.2,50.65
10000,1.0,0.1,180.6,62.9,6.2,50.65
30000,1.0,0.1,180.6,62.9,6.2,50.65
150000,1.0,0.1,180.6,62.9,6.2,50.65
20000,1.0,0.1,180.6,62.9,6.2,50.65
150000,2.0,0.1,183.9,62.4,6.6,50.58
10000,2.0,0.1,183.9,62.4,6.6,50.58
75000,2.0,0.1,183.9,62.4,6.6,50.58
20000,2.0,0.1,183.9,62.4,6.6,50.58
50000,2.0,0.1,183.9,62.4,6.6,50.58
100000,2.0,0.1,183.9,62.4,6.6,50.58
30000,2.0,0.1,183.9,62.4,6.6,50.58
30000,4.0,0.15,204.2,62.6,7.9,50.37
50000,4.0,0.15,204.2,62.6,7.9,50.37
20000,4.0,0.15,204.2,62.6,7.9,50.37
100000,4.0,0.15,204.2,62.6,7.9,50.37
150000,4.0,0.15,204.2,62.6,7.9,50.37
75000,4.0,0.15,204.2,62.6,7.9,50.37
10000,4.0,0.15,204.2,62.6,7.9,50.37
50000,3.0,0.15,204.2,62.4,7.9,50.32
30000,3.0,0.15,204.2,62.4,7.9,50.32
150000,3.0,0.15,204.2,62.4,7.9,50.32
20000,3.0,0.15,204.2,62.4,7.9,50.32
10000,3.0,0.15,204.2,62.4,7.9,50.32
75000,3.0,0.15,204.2,62.4,7.9,50.32
100000,3.0,0.15,204.2,62.4,7.9,50.32
20000,2.5,0.1,187.7,62.3,6.6,50.3
75000,2.5,0.1,187.7,62.3,6.6,50.3
30000,2.5,0.1,187.7,62.3,6.6,50.3
150000,2.5,0.1,187.7,62.3,6.6,50.3
100000,2.5,0.1,187.7,62.3,6.6,50.3
10000,2.5,0.1,187.7,62.3,6.6,50.3
50000,2.5,0.1,187.7,62.3,6.6,50.3
150000,0.75,0.1,180.6,61.2,6.2,50.14
10000,0.75,0.1,180.6,61.2,6.2,50.14
50000,0.75,0.1,180.6,61.2,6.2,50.14
30000,0.75,0.1,180.6,61.2,6.2,50.14
75000,0.75,0.1,180.6,61.2,6.2,50.14
100000,0.75,0.1,180.6,61.2,6.2,50.14
20000,0.75,0.1,180.6,61.2,6.2,50.14
10000,0.5,0.1,180.3,60.2,6.0,49.63
75000,0.5,0.1,180.3,60.2,6.0,49.63
50000,0.5,0.1,180.3,60.2,6.0,49.63
30000,0.5,0.1,180.3,60.2,6.0,49.63
150000,0.5,0.1,180.3,60.2,6.0,49.63
100000,0.5,0.1,180.3,60.2,6.0,49.63
20000,0.5,0.1,180.3,60.2,6.0,49.63
50000,1.0,0.05,183.5,63.6,5.2,49.55
75000,1.0,0.05,183.5,63.6,5.2,49.55
20000,1.0,0.05,183.5,63.6,5.2,49.55
10000,1.0,0.05,183.5,63.6,5.2,49.55
30000,1.0,0.05,183.5,63.6,5.2,49.55
150000,1.0,0.05,183.5,63.6,5.2,49.55
100000,1.0,0.05,183.5,63.6,5.2,49.55
75000,1.5,0.05,184.6,63.2,5.3,49.52
100000,1.5,0.05,184.6,63.2,5.3,49.52
20000,1.5,0.05,184.6,63.2,5.3,49.52
10000,1.5,0.05,184.6,63.2,5.3,49.52
50000,1.5,0.05,184.6,63.2,5.3,49.52
30000,1.5,0.05,184.6,63.2,5.3,49.52
150000,1.5,0.05,184.6,63.2,5.3,49.52
10000,0.75,0.05,183.5,61.8,5.2,49.01
150000,0.75,0.05,183.5,61.8,5.2,49.01
100000,0.75,0.05,183.5,61.8,5.2,49.01
20000,0.75,0.05,183.5,61.8,5.2,49.01
75000,0.75,0.05,183.5,61.8,5.2,49.01
30000,0.75,0.05,183.5,61.8,5.2,49.01
50000,0.75,0.05,183.5,61.8,5.2,49.01
150000,2.0,0.05,193.6,62.6,5.4,48.69
50000,2.0,0.05,193.6,62.6,5.4,48.69
10000,2.0,0.05,193.6,62.6,5.4,48.69
100000,2.0,0.05,193.6,62.6,5.4,48.69
20000,2.0,0.05,193.6,62.6,5.4,48.69
30000,2.0,0.05,193.6,62.6,5.4,48.69
75000,2.0,0.05,193.6,62.6,5.4,48.69
150000,4.0,0.1,209.5,62.4,6.6,48.59
10000,4.0,0.1,209.5,62.4,6.6,48.59
75000,4.0,0.1,209.5,62.4,6.6,48.59
20000,4.0,0.1,209.5,62.4,6.6,48.59
100000,4.0,0.1,209.5,62.4,6.6,48.59
30000,4.0,0.1,209.5,62.4,6.6,48.59
50000,4.0,0.1,209.5,62.4,6.6,48.59
150000,0.5,0.05,183.1,60.7,5.0,48.56
50000,0.5,0.05,183.1,60.7,5.0,48.56
20000,0.5,0.05,183.1,60.7,5.0,48.56
30000,0.5,0.05,183.1,60.7,5.0,48.56
10000,0.5,0.05,183.1,60.7,5.0,48.56
75000,0.5,0.05,183.1,60.7,5.0,48.56
100000,0.5,0.05,183.1,60.7,5.0,48.56
50000,3.0,0.1,209.5,62.3,6.6,48.53
75000,3.0,0.1,209.5,62.3,6.6,48.53
10000,3.0,0.1,209.5,62.3,6.6,48.53
100000,3.0,0.1,209.5,62.3,6.6,48.53
20000,3.0,0.1,209.5,62.3,6.6,48.53
150000,3.0,0.1,209.5,62.3,6.6,48.53
30000,3.0,0.1,209.5,62.3,6.6,48.53
150000,2.5,0.05,199.6,62.3,5.5,48.2
100000,2.5,0.05,199.6,62.3,5.5,48.2
10000,2.5,0.05,199.6,62.3,5.5,48.2
50000,2.5,0.05,199.6,62.3,5.5,48.2
75000,2.5,0.05,199.6,62.3,5.5,48.2
20000,2.5,0.05,199.6,62.3,5.5,48.2
30000,2.5,0.05,199.6,62.3,5.5,48.2
100000,4.0,0.05,225.7,62.7,5.5,46.22
10000,4.0,0.05,225.7,62.7,5.5,46.22
50000,4.0,0.05,225.7,62.7,5.5,46.22
150000,4.0,0.05,225.7,62.7,5.5,46.22
30000,4.0,0.05,225.7,62.7,5.5,46.22
20000,4.0,0.05,225.7,62.7,5.5,46.22
75000,4.0,0.05,225.7,62.7,5.5,46.22
100000,3.0,0.05,225.7,62.5,5.5,46.17
20000,3.0,0.05,225.7,62.5,5.5,46.17
50000,3.0,0.05,225.7,62.5,5.5,46.17
150000,3.0,0.05,225.7,62.5,5.5,46.17
10000,3.0,0.05,225.7,62.5,5.5,46.17
75000,3.0,0.05,225.7,62.5,5.5,46.17
30000,3.0,0.05,225.7,62.5,5.5,46.17
