# PLGA Optimization Results
# Drug: paeonol
# Priority: ee
# Min EE: 25.0%
# Max Size: 500 nm
# Date: 2026-04-04 03:49:38
# Total formulations evaluated: 392
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
30000,0.75,0.25,172.2,26.4,11.0,26.38
75000,1.0,0.25,172.2,26.4,11.0,26.38
20000,0.75,0.25,172.2,26.4,11.0,26.38
50000,1.0,0.25,172.2,26.4,11.0,26.38
10000,0.75,0.25,172.2,26.4,11.0,26.38
50000,0.75,0.25,172.2,26.4,11.0,26.38
75000,0.75,0.25,172.2,26.4,11.0,26.38
100000,0.75,0.25,172.2,26.4,11.0,26.38
10000,1.0,0.25,172.2,26.4,11.0,26.38
20000,1.0,0.25,172.2,26.4,11.0,26.38
30000,1.0,0.25,172.2,26.4,11.0,26.38
100000,1.5,0.25,173.0,26.4,11.0,26.38
150000,1.0,0.25,172.2,26.4,11.0,26.38
30000,1.5,0.25,173.0,26.4,11.0,26.38
20000,1.5,0.25,173.0,26.4,11.0,26.38
100000,1.0,0.25,172.2,26.4,11.0,26.38
50000,1.5,0.25,173.0,26.4,11.0,26.38
150000,0.75,0.25,172.2,26.4,11.0,26.38
150000,1.5,0.25,173.0,26.4,11.0,26.38
20000,1.0,0.2,171.9,26.4,10.2,26.37
100000,0.75,0.2,171.9,26.4,10.2,26.37
150000,1.5,0.2,171.7,26.4,10.2,26.37
100000,1.5,0.2,171.7,26.4,10.2,26.37
20000,1.5,0.2,171.7,26.4,10.2,26.37
150000,1.0,0.2,171.9,26.4,10.2,26.37
20000,0.75,0.2,171.9,26.4,10.2,26.37
30000,0.75,0.2,171.9,26.4,10.2,26.37
10000,0.75,0.2,171.9,26.4,10.2,26.37
150000,0.75,0.2,171.9,26.4,10.2,26.37
10000,1.0,0.2,171.9,26.4,10.2,26.37
10000,1.5,0.2,171.7,26.4,10.2,26.37
100000,1.0,0.2,171.9,26.4,10.2,26.37
50000,0.75,0.2,171.9,26.4,10.2,26.37
75000,0.75,0.2,171.9,26.4,10.2,26.37
30000,1.0,0.2,171.9,26.4,10.2,26.37
50000,1.5,0.2,171.7,26.4,10.2,26.37
30000,1.5,0.2,171.7,26.4,10.2,26.37
75000,1.5,0.2,171.7,26.4,10.2,26.37
75000,1.0,0.2,171.9,26.4,10.2,26.37
50000,1.0,0.2,171.9,26.4,10.2,26.37
30000,1.0,0.3,170.2,26.3,7.7,26.34
30000,1.5,0.4,171.4,26.3,10.2,26.34
20000,1.0,0.35,170.2,26.3,7.6,26.34
20000,1.0,0.4,170.7,26.3,10.2,26.34
30000,1.5,0.35,170.9,26.3,7.6,26.34
30000,1.5,0.3,170.9,26.3,7.7,26.34
20000,1.5,0.3,170.9,26.3,7.7,26.34
10000,0.75,0.3,170.2,26.3,7.7,26.34
100000,1.5,0.3,170.9,26.3,7.7,26.34
20000,1.5,0.35,170.9,26.3,7.6,26.34
20000,1.5,0.4,171.4,26.3,10.2,26.34
100000,1.5,0.35,170.9,26.3,7.6,26.34
150000,0.75,0.3,170.2,26.3,7.7,26.34
75000,1.5,0.35,170.9,26.3,7.6,26.34
30000,1.0,0.4,170.7,26.3,10.2,26.34
30000,1.0,0.35,170.2,26.3,7.6,26.34
100000,1.5,0.4,171.4,26.3,10.2,26.34
10000,0.75,0.4,170.7,26.3,10.2,26.34
75000,1.5,0.4,171.4,26.3,10.2,26.34
150000,0.75,0.4,170.7,26.3,10.2,26.34
150000,0.75,0.35,170.2,26.3,7.6,26.34
30000,0.75,0.35,170.2,26.3,7.6,26.34
50000,0.75,0.3,170.2,26.3,7.7,26.34
50000,0.75,0.35,170.2,26.3,7.6,26.34
50000,0.75,0.4,170.7,26.3,10.2,26.34
20000,0.75,0.3,170.2,26.3,7.7,26.34
20000,0.75,0.35,170.2,26.3,7.6,26.34
20000,0.75,0.4,170.7,26.3,10.2,26.34
50000,1.0,0.3,170.2,26.3,7.7,26.34
50000,1.0,0.35,170.2,26.3,7.6,26.34
50000,1.0,0.4,170.7,26.3,10.2,26.34
20000,1.0,0.3,170.2,26.3,7.7,26.34
150000,1.5,0.4,171.4,26.3,10.2,26.34
150000,1.5,0.35,170.9,26.3,7.6,26.34
150000,1.5,0.3,170.9,26.3,7.7,26.34
50000,1.5,0.3,170.9,26.3,7.7,26.34
50000,1.5,0.35,170.9,26.3,7.6,26.34
150000,1.0,0.4,170.7,26.3,10.2,26.34
150000,1.0,0.35,170.2,26.3,7.6,26.34
150000,1.0,0.3,170.2,26.3,7.7,26.34
50000,1.5,0.4,171.4,26.3,10.2,26.34
30000,0.75,0.4,170.7,26.3,10.2,26.34
10000,0.75,0.35,170.2,26.3,7.6,26.34
30000,0.75,0.3,170.2,26.3,7.7,26.34
75000,0.75,0.3,170.2,26.3,7.7,26.34
100000,0.75,0.3,170.2,26.3,7.7,26.34
10000,1.0,0.4,170.7,26.3,10.2,26.34
10000,1.5,0.3,170.9,26.3,7.7,26.34
75000,1.0,0.4,170.7,26.3,10.2,26.34
100000,0.75,0.35,170.2,26.3,7.6,26.34
100000,0.75,0.4,170.7,26.3,10.2,26.34
10000,1.0,0.3,170.2,26.3,7.7,26.34
10000,1.5,0.4,171.4,26.3,10.2,26.34
75000,1.0,0.3,170.2,26.3,7.7,26.34
75000,0.75,0.35,170.2,26.3,7.6,26.34
75000,0.75,0.4,170.7,26.3,10.2,26.34
10000,1.5,0.35,170.9,26.3,7.6,26.34
75000,1.0,0.35,170.2,26.3,7.6,26.34
10000,1.0,0.35,170.2,26.3,7.6,26.34
75000,1.5,0.3,170.9,26.3,7.7,26.34
100000,1.0,0.3,170.2,26.3,7.7,26.34
100000,1.0,0.35,170.2,26.3,7.6,26.34
100000,1.0,0.4,170.7,26.3,10.2,26.34
50000,2.0,0.25,173.0,26.3,11.0,26.33
75000,2.0,0.25,173.0,26.3,11.0,26.33
30000,2.0,0.25,173.0,26.3,11.0,26.33
100000,2.0,0.25,173.0,26.3,11.0,26.33
10000,2.0,0.25,173.0,26.3,11.0,26.33
150000,2.0,0.25,173.0,26.3,11.0,26.33
20000,2.0,0.25,173.0,26.3,11.0,26.33
20000,2.0,0.2,171.7,26.3,10.2,26.31
75000,2.0,0.2,171.7,26.3,10.2,26.31
30000,2.0,0.2,171.7,26.3,10.2,26.31
100000,2.0,0.2,171.7,26.3,10.2,26.31
150000,2.0,0.2,171.7,26.3,10.2,26.31
10000,2.0,0.2,171.7,26.3,10.2,26.31
50000,2.0,0.2,171.7,26.3,10.2,26.31
150000,2.0,0.3,170.9,26.3,7.7,26.28
150000,2.0,0.35,170.9,26.3,7.6,26.28
50000,2.0,0.3,170.9,26.3,7.7,26.28
150000,2.0,0.4,171.4,26.3,10.2,26.28
30000,2.0,0.3,170.9,26.3,7.7,26.28
50000,2.0,0.35,170.9,26.3,7.6,26.28
50000,2.0,0.4,171.4,26.3,10.2,26.28
30000,2.0,0.35,170.9,26.3,7.6,26.28
75000,2.0,0.3,170.9,26.3,7.7,26.28
20000,2.0,0.35,170.9,26.3,7.6,26.28
20000,2.0,0.3,170.9,26.3,7.7,26.28
100000,2.0,0.3,170.9,26.3,7.7,26.28
100000,2.0,0.35,170.9,26.3,7.6,26.28
100000,2.0,0.4,171.4,26.3,10.2,26.28
30000,2.0,0.4,171.4,26.3,10.2,26.28
10000,2.0,0.4,171.4,26.3,10.2,26.28
20000,2.0,0.4,171.4,26.3,10.2,26.28
75000,2.0,0.4,171.4,26.3,10.2,26.28
10000,2.0,0.3,170.9,26.3,7.7,26.28
10000,2.0,0.35,170.9,26.3,7.6,26.28
75000,2.0,0.35,170.9,26.3,7.6,26.28
50000,0.5,0.25,172.3,26.2,11.0,26.24
100000,0.5,0.25,172.3,26.2,11.0,26.24
150000,0.5,0.25,172.3,26.2,11.0,26.24
30000,0.5,0.25,172.3,26.2,11.0,26.24
75000,0.5,0.25,172.3,26.2,11.0,26.24
20000,0.5,0.25,172.3,26.2,11.0,26.24
10000,0.5,0.25,172.3,26.2,11.0,26.24
10000,0.5,0.2,172.0,26.2,10.2,26.22
20000,0.5,0.2,172.0,26.2,10.2,26.22
75000,0.5,0.2,172.0,26.2,10.2,26.22
150000,0.5,0.2,172.0,26.2,10.2,26.22
30000,0.5,0.2,172.0,26.2,10.2,26.22
50000,0.5,0.2,172.0,26.2,10.2,26.22
100000,0.5,0.2,172.0,26.2,10.2,26.22
10000,0.5,0.35,170.2,26.2,7.6,26.21
75000,0.5,0.3,170.2,26.2,7.8,26.21
75000,0.5,0.35,170.2,26.2,7.6,26.21
75000,0.5,0.4,170.8,26.2,10.2,26.21
20000,0.5,0.3,170.2,26.2,7.8,26.21
20000,0.5,0.35,170.2,26.2,7.6,26.21
100000,0.5,0.4,170.8,26.2,10.2,26.21
20000,0.5,0.4,170.8,26.2,10.2,26.21
100000,0.5,0.35,170.2,26.2,7.6,26.21
150000,0.5,0.35,170.2,26.2,7.6,26.21
150000,0.5,0.3,170.2,26.2,7.8,26.21
30000,0.5,0.3,170.2,26.2,7.8,26.21
150000,0.5,0.4,170.8,26.2,10.2,26.21
50000,0.5,0.3,170.2,26.2,7.8,26.21
50000,0.5,0.35,170.2,26.2,7.6,26.21
10000,0.5,0.4,170.8,26.2,10.2,26.21
30000,0.5,0.4,170.8,26.2,10.2,26.21
30000,0.5,0.35,170.2,26.2,7.6,26.21
10000,0.5,0.3,170.2,26.2,7.8,26.21
50000,0.5,0.4,170.8,26.2,10.2,26.21
100000,0.5,0.3,170.2,26.2,7.8,26.21
