# PLGA Optimization Results
# Drug: tretinoin
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 11:32:41
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
20,2.0,0.25,224.4,69.6,11.1,55.12
150,2.0,0.25,224.4,69.6,11.1,55.12
100,2.0,0.25,224.4,69.6,11.1,55.12
10,2.0,0.25,224.4,69.6,11.1,55.12
50,2.0,0.25,224.4,69.6,11.1,55.12
75,2.0,0.25,224.4,69.6,11.1,55.12
150,2.5,0.2,225.1,69.4,9.5,54.98
75,2.5,0.2,225.1,69.4,9.5,54.98
50,2.5,0.2,225.1,69.4,9.5,54.98
100,2.5,0.2,225.1,69.4,9.5,54.98
10,2.5,0.2,225.1,69.4,9.5,54.98
20,2.5,0.2,225.1,69.4,9.5,54.98
30,2.5,0.2,225.1,69.4,9.5,54.98
10,2.0,0.2,225.2,69.5,9.6,54.95
150,2.0,0.2,225.2,69.5,9.6,54.95
30,2.0,0.2,225.2,69.5,9.6,54.95
75,2.0,0.2,225.2,69.5,9.6,54.95
100,2.0,0.2,225.2,69.5,9.6,54.95
50,2.0,0.2,225.2,69.5,9.6,54.95
20,2.0,0.2,225.2,69.5,9.6,54.95
75,2.0,0.15,225.5,70.4,9.0,54.9
50,2.0,0.15,225.5,70.4,9.0,54.9
20,2.0,0.15,225.5,70.4,9.0,54.9
30,2.0,0.15,225.5,70.4,9.0,54.9
10,2.0,0.15,225.5,70.4,9.0,54.9
100,2.0,0.15,225.5,70.4,9.0,54.9
150,2.0,0.15,225.5,70.4,9.0,54.9
50,2.5,0.15,225.8,70.3,9.0,54.85
75,2.5,0.15,225.8,70.3,9.0,54.85
30,2.5,0.15,225.8,70.3,9.0,54.85
10,2.5,0.15,225.8,70.3,9.0,54.85
100,2.5,0.15,225.8,70.3,9.0,54.85
150,2.5,0.15,225.8,70.3,9.0,54.85
20,2.5,0.15,225.8,70.3,9.0,54.85
30,2.0,0.1,226.0,70.3,8.0,54.81
50,2.0,0.1,226.0,70.3,8.0,54.81
75,2.0,0.1,226.0,70.3,8.0,54.81
100,2.0,0.1,226.0,70.3,8.0,54.81
10,2.0,0.1,226.0,70.3,8.0,54.81
150,2.0,0.1,226.0,70.3,8.0,54.81
20,2.0,0.1,226.0,70.3,8.0,54.81
10,2.5,0.1,226.2,70.1,8.0,54.75
75,2.5,0.1,226.2,70.1,8.0,54.75
150,2.5,0.1,226.2,70.1,8.0,54.75
20,2.5,0.1,226.2,70.1,8.0,54.75
