# PLGA Optimization Results
# Drug: ropinirole
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:00:41
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
75000,0.5,0.2,170.5,35.3,9.1,65.91
20000,0.5,0.2,170.5,35.3,9.1,65.91
100000,1.0,0.2,170.4,35.6,9.1,65.91
100000,0.5,0.2,170.5,35.3,9.1,65.91
30000,1.0,0.2,170.4,35.6,9.1,65.91
50000,1.0,0.2,170.4,35.6,9.1,65.91
20000,1.0,0.2,170.4,35.6,9.1,65.91
10000,1.0,0.2,170.4,35.6,9.1,65.91
50000,0.5,0.2,170.5,35.3,9.1,65.91
75000,1.0,0.2,170.4,35.6,9.1,65.91
30000,0.5,0.2,170.5,35.3,9.1,65.91
150000,1.0,0.2,170.4,35.6,9.1,65.91
10000,0.5,0.2,170.5,35.3,9.1,65.91
150000,0.5,0.2,170.5,35.3,9.1,65.91
10000,0.75,0.2,170.5,35.8,9.1,65.89
150000,0.75,0.2,170.5,35.8,9.1,65.89
100000,0.75,0.2,170.5,35.8,9.1,65.89
20000,0.75,0.2,170.5,35.8,9.1,65.89
75000,0.75,0.2,170.5,35.8,9.1,65.89
30000,0.75,0.2,170.5,35.8,9.1,65.89
50000,0.75,0.2,170.5,35.8,9.1,65.89
50000,1.0,0.4,170.6,35.4,11.2,65.88
50000,1.0,0.35,170.6,35.6,10.6,65.88
100000,0.5,0.4,170.6,35.0,11.2,65.88
100000,0.5,0.35,170.6,35.2,10.6,65.88
100000,1.0,0.35,170.6,35.6,10.6,65.88
150000,1.0,0.4,170.6,35.4,11.2,65.88
75000,1.0,0.4,170.6,35.4,11.2,65.88
75000,1.0,0.35,170.6,35.6,10.6,65.88
150000,0.5,0.4,170.6,35.0,11.2,65.88
75000,0.5,0.4,170.6,35.0,11.2,65.88
150000,0.5,0.35,170.6,35.2,10.6,65.88
75000,0.5,0.35,170.6,35.2,10.6,65.88
100000,1.0,0.4,170.6,35.4,11.2,65.88
150000,1.0,0.35,170.6,35.6,10.6,65.88
20000,1.0,0.4,170.6,35.4,11.2,65.88
10000,0.5,0.35,170.6,35.2,10.6,65.88
20000,1.0,0.35,170.6,35.6,10.6,65.88
10000,1.0,0.35,170.6,35.6,10.6,65.88
10000,0.5,0.4,170.6,35.0,11.2,65.88
30000,1.0,0.4,170.6,35.4,11.2,65.88
30000,1.0,0.35,170.6,35.6,10.6,65.88
20000,0.5,0.35,170.6,35.2,10.6,65.88
30000,0.5,0.35,170.6,35.2,10.6,65.88
20000,0.5,0.4,170.6,35.0,11.2,65.88
50000,0.5,0.35,170.6,35.2,10.6,65.88
30000,0.5,0.4,170.6,35.0,11.2,65.88
50000,0.5,0.4,170.6,35.0,11.2,65.88
10000,1.0,0.4,170.6,35.4,11.2,65.88
75000,0.75,0.35,170.7,35.7,10.6,65.87
75000,0.75,0.4,170.7,35.5,11.2,65.87
150000,0.75,0.35,170.7,35.7,10.6,65.87
10000,0.75,0.4,170.7,35.5,11.2,65.87
20000,0.75,0.35,170.7,35.7,10.6,65.87
20000,0.75,0.4,170.7,35.5,11.2,65.87
10000,0.75,0.35,170.7,35.7,10.6,65.87
30000,0.75,0.35,170.7,35.7,10.6,65.87
100000,0.75,0.35,170.7,35.7,10.6,65.87
30000,0.75,0.4,170.7,35.5,11.2,65.87
50000,0.75,0.35,170.7,35.7,10.6,65.87
50000,0.75,0.4,170.7,35.5,11.2,65.87
100000,0.75,0.4,170.7,35.5,11.2,65.87
150000,0.75,0.4,170.7,35.5,11.2,65.87
50000,1.5,0.25,171.3,33.8,10.0,65.75
20000,1.5,0.25,171.3,33.8,10.0,65.75
100000,1.5,0.25,171.3,33.8,10.0,65.75
150000,1.5,0.25,171.3,33.8,10.0,65.75
30000,1.5,0.25,171.3,33.8,10.0,65.75
10000,1.5,0.25,171.3,33.8,10.0,65.75
75000,1.5,0.25,171.3,33.8,10.0,65.75
50000,1.5,0.3,171.3,33.9,10.7,65.74
20000,1.5,0.3,171.3,33.9,10.7,65.74
75000,1.5,0.3,171.3,33.9,10.7,65.74
100000,1.5,0.3,171.3,33.9,10.7,65.74
10000,1.5,0.3,171.3,33.9,10.7,65.74
150000,1.5,0.3,171.3,33.9,10.7,65.74
30000,1.5,0.3,171.3,33.9,10.7,65.74
30000,1.5,0.2,171.7,34.1,9.1,65.65
75000,1.5,0.2,171.7,34.1,9.1,65.65
10000,1.5,0.2,171.7,34.1,9.1,65.65
100000,1.5,0.2,171.7,34.1,9.1,65.65
50000,1.5,0.2,171.7,34.1,9.1,65.65
150000,1.5,0.2,171.7,34.1,9.1,65.65
20000,1.5,0.2,171.7,34.1,9.1,65.65
20000,1.5,0.4,171.8,33.9,11.5,65.63
10000,1.5,0.35,171.8,34.1,10.9,65.63
75000,1.5,0.35,171.8,34.1,10.9,65.63
75000,1.5,0.4,171.8,33.9,11.5,65.63
20000,1.5,0.35,171.8,34.1,10.9,65.63
150000,1.5,0.35,171.8,34.1,10.9,65.63
100000,1.5,0.35,171.8,34.1,10.9,65.63
10000,1.5,0.4,171.8,33.9,11.5,65.63
30000,1.5,0.35,171.8,34.1,10.9,65.63
30000,1.5,0.4,171.8,33.9,11.5,65.63
50000,1.5,0.4,171.8,33.9,11.5,65.63
50000,1.5,0.35,171.8,34.1,10.9,65.63
100000,1.5,0.4,171.8,33.9,11.5,65.63
150000,1.5,0.4,171.8,33.9,11.5,65.63
150000,2.5,0.1,172.0,34.5,6.7,65.61
20000,2.5,0.1,172.0,34.5,6.7,65.61
10000,2.5,0.1,172.0,34.5,6.7,65.61
30000,2.5,0.1,172.0,34.5,6.7,65.61
100000,2.5,0.1,172.0,34.5,6.7,65.61
50000,2.5,0.1,172.0,34.5,6.7,65.61
75000,2.5,0.1,172.0,34.5,6.7,65.61
20000,4.0,0.15,175.6,34.0,8.5,64.87
30000,4.0,0.15,175.6,34.0,8.5,64.87
150000,4.0,0.15,175.6,34.0,8.5,64.87
100000,4.0,0.15,175.6,34.0,8.5,64.87
50000,4.0,0.15,175.6,34.0,8.5,64.87
75000,4.0,0.15,175.6,34.0,8.5,64.87
10000,4.0,0.15,175.6,34.0,8.5,64.87
50000,2.0,0.15,175.8,33.9,8.6,64.84
75000,2.0,0.15,175.8,33.9,8.6,64.84
20000,2.0,0.15,175.8,33.9,8.6,64.84
30000,2.0,0.15,175.8,33.9,8.6,64.84
150000,2.0,0.15,175.8,33.9,8.6,64.84
10000,2.0,0.15,175.8,33.9,8.6,64.84
100000,2.0,0.15,175.8,33.9,8.6,64.84
150000,4.0,0.2,176.9,31.6,8.4,64.63
75000,4.0,0.2,176.9,31.6,8.4,64.63
100000,4.0,0.2,176.9,31.6,8.4,64.63
50000,4.0,0.2,176.9,31.6,8.4,64.63
30000,4.0,0.2,176.9,31.6,8.4,64.63
20000,4.0,0.2,176.9,31.6,8.4,64.63
10000,4.0,0.2,176.9,31.6,8.4,64.63
20000,4.0,0.25,177.6,31.3,9.2,64.48
10000,4.0,0.25,177.6,31.3,9.2,64.48
30000,4.0,0.25,177.6,31.3,9.2,64.48
